Year,Unit,Count,Percentage
2002,San Mateo ,83,1.4
1993,Santa Clara ,334,3.9
1994,Santa Clara ,337,3.8
1995,Santa Clara ,383,3.9
1996,Santa Clara ,405,4
1997,Santa Clara ,373,4.2
1998,Santa Clara ,357,4.3
1999,Santa Clara ,349,4.5
2000,Santa Clara ,299,4
2001,Santa Clara ,271,3.9
2002,Santa Clara ,238,4
1993,Stanislaus ,103,1.2
1994,Stanislaus ,124,1.4
1995,Stanislaus ,137,1.4
1996,Stanislaus ,142,1.4
1997,Stanislaus ,124,1.4
1998,Stanislaus ,116,1.4
1999,Stanislaus ,109,1.4
2000,Stanislaus ,112,1.5
2001,Stanislaus ,111,1.6
2002,Stanislaus ,119,2
1993,Tulare,128,1.5
1994,Tulare,168,1.9
1995,Tulare,246,2.5
1996,Tulare,294,2.9
1997,Tulare,231,2.6
1998,Tulare,207,2.5
1999,Tulare,194,2.5
2000,Tulare,195,2.6
2001,Tulare,180,2.6
2002,Tulare,155,2.6
1993,35 Other Counties ,633,7.4
1994,35 Other Counties ,744,8.4
1995,35 Other Counties ,894,9.1
1996,35 Other Counties ,921,9.1
1997,35 Other Counties ,790,8.9
1998,35 Other Counties ,755,9.1
1999,35 Other Counties ,761,9.8
2000,35 Other Counties ,733,9.8
2001,35 Other Counties ,784,11.3
2002,35 Other Counties ,661,11.1
1993,Southern Region,5185,61
1994,Southern Region,5114,58
1995,Southern Region,5539,56
1996,Southern Region,5668,56
1997,Southern Region,4961,56
1998,Southern Region,4597,55
1999,Southern Region,4230,55
2000,Southern Region,4033,54
2001,Southern Region,3763,54
2002,Southern Region,3185,54
1993,Los Angeles ,3739,43.7
1994,Los Angeles ,3501,39.5
1995,Los Angeles ,3496,35.6
1996,Los Angeles ,3411,33.7
1997,Los Angeles ,2795,31.5
1998,Los Angeles ,2414,29.1
1999,Los Angeles ,2134,27.5
2000,Los Angeles ,2020,27
2001,Los Angeles ,1867,26.9
2002,Los Angeles ,1578,26.5
1993,Orange ,368,4.3
1994,Orange ,355,4
1995,Orange ,462,4.7
1996,Orange ,557,5.5
1997,Orange ,586,6.6
1998,Orange ,581,7
1999,Orange ,512,6.6
2000,Orange ,456,6.1
2001,Orange ,368,5.3
2002,Orange ,310,5.2
1993,Riverside,214,2.5
1994,Riverside,257,2.9
1995,Riverside,354,3.6
1996,Riverside,425,4.2
1997,Riverside,417,4.7
1998,Riverside,431,5.2
1999,Riverside,419,5.4
2000,Riverside,374,5
2001,Riverside,340,4.9
2002,Riverside,274,4.6
1993,San Bernardino ,274,3.2
1994,San Bernardino ,257,2.9
1995,San Bernardino ,295,3
1996,San Bernardino ,304,3
1997,San Bernardino ,311,3.5
1998,San Bernardino ,357,4.3
1999,San Bernardino ,450,5.8
2000,San Bernardino ,524,7
2001,San Bernardino ,646,9.3
2002,San Bernardino ,572,9.6
1993,San Diego ,342,4
1994,San Diego ,479,5.4
1995,San Diego ,648,6.6
1996,San Diego ,698,6.9
1997,San Diego ,639,7.2
1998,San Diego ,589,7.1
1999,San Diego ,497,6.4
2000,San Diego ,441,5.9
2001,San Diego ,361,5.2
2002,San Diego ,292,4.9
1993,Santa Barbara ,60,0.7
1994,Santa Barbara ,71,0.8
1995,Santa Barbara ,88,0.9
1996,Santa Barbara ,81,0.8
1997,Santa Barbara ,62,0.7
1998,Santa Barbara ,75,0.9
1999,Santa Barbara ,62,0.8
2000,Santa Barbara ,60,0.8
2001,Santa Barbara ,49,0.7
2002,Santa Barbara ,36,0.6
1993,Ventura,163,1.9
1994,Ventura,142,1.6
1995,Ventura,137,1.4
1996,Ventura,121,1.2
1997,Ventura,98,1.1
1998,Ventura,108,1.3
1999,Ventura,124,1.6
2000,Ventura,120,1.6
2001,Ventura,118,1.7
2002,Ventura,113,1.9
1993,2 Other Counties,26,0.3
1994,2 Other Counties,53,0.6
1995,2 Other Counties,59,0.6
1996,2 Other Counties,71,0.7
1997,2 Other Counties,53,0.6
1998,2 Other Counties,33,0.4
1999,2 Other Counties,31,0.4
2000,2 Other Counties,22,0.3
2001,2 Other Counties,21,0.3
2002,2 Other Counties,18,0.3
